source	target	mor
NFKB2_RELB	DEFB4B	1
RELB	DEFB4B	1
NFKB1_RELA	DEFB4B	1
NFKB2	DEFB4B	1
NFKB2_REL	DEFB4B	1
REL_RELB	DEFB4B	1
REL	DEFB4B	1
FOSL1_JUNB	STXBP1	1
FOS_JUN	STXBP1	1
FOS_JUNB	STXBP1	1
FOSL2_JUND	STXBP1	1
FOSL2_JUN	STXBP1	1
JUN	STXBP1	1
FOSB_JUNB	STXBP1	1
JUNB	STXBP1	1
FOSL2_JUNB	STXBP1	1
JUND	STXBP1	1
JUN_JUND	STXBP1	1
JUNB_JUND	STXBP1	1
FOSL1_JUND	STXBP1	1
FOSL1_JUN	STXBP1	1
FOSB_JUND	STXBP1	1
FOSB_JUN	STXBP1	1
JUN_JUNB	STXBP1	1
FOS_JUND	STXBP1	1
RELA	PUF60	1
NFKB1	PUF60	1
RELA_RELB	PUF60	1
NFKB2_RELA	PUF60	1
NFKB1_RELB	PUF60	1
REL_RELA	PUF60	1
NFKB1_NFKB2	PUF60	1
NFKB1_REL	PUF60	1
NFKB2_RELB	PUF60	1
RELB	PUF60	1
NFKB1_RELA	PUF60	1
NFKB2	PUF60	1
NFKB2_REL	PUF60	1
REL_RELB	PUF60	1
REL	PUF60	1
RELA_RELB	NR4A2	1
NFKB2_RELA	NR4A2	1
NFKB1_RELB	NR4A2	1
REL_RELA	NR4A2	1
NFKB1_NFKB2	NR4A2	1
NFKB1_REL	NR4A2	1
NFKB2_RELB	NR4A2	1
RELB	NR4A2	1
NFKB1_RELA	NR4A2	1
NFKB2	NR4A2	1
NFKB2_REL	NR4A2	1
REL_RELB	NR4A2	1
REL	NR4A2	1
FOSL1_JUNB	CD40	1
FOS_JUN	CD40	1
FOS_JUNB	CD40	1
FOSL2_JUND	CD40	1
FOSL2_JUN	CD40	1
JUN	CD40	1
FOSB_JUNB	CD40	1
JUNB	CD40	1
FOSL2_JUNB	CD40	1
JUND	CD40	1
JUN_JUND	CD40	1
JUNB_JUND	CD40	1
FOSL1_JUND	CD40	1
FOSL1_JUN	CD40	1
FOSB_JUND	CD40	1
FOSB_JUN	CD40	1
JUN_JUNB	CD40	1
FOS_JUND	CD40	1
FOSL1_JUNB	OPRM1	1
FOS_JUN	OPRM1	1
FOS_JUNB	OPRM1	1
